id,product_id,name,value,price_modifier,stock,sku
7461134c-1cc1-4767-8c22-0b073ee9a8e6,7e17e3d0-933f-43b9-a736-61b8d5b1d735,weight,20mg,0.00,0,
753f27c6-5dfc-4b2f-9e03-65003d25e071,5b45bb77-d575-4d5c-9e30-923f8c4dd11c,weight,20mg,0.00,0,
754f6302-771f-4fe8-b995-57544af84549,20a2c5b9-b038-4540-9160-7f38de12e220,Weight,10ml,0.00,0,
7567f824-d974-4443-a1a0-5cb81b151c2c,41ac2dfc-6859-42c3-8c52-3ea6d04f9ec8,weight,10mg,0.00,0,
76bac48a-57e9-4fb2-bc5a-d4aec03e6e31,9c27c54d-4390-4d94-a434-0e5dd1e12020,weight,500mcg/cap,0.00,0,
773448a7-d9c2-4799-a93a-e43fc0e2bdfb,46272bb6-3da3-4e7e-a61d-8c7b0fe5bd4f,Dosage,10mg × 10 vials,15.00,100,
784ac557-59f2-42c4-89d8-8a5904ce8380,7b6abe98-6a0f-498a-b61e-b41f9ececf4b,Weight,10mg,0.00,0,
793fac97-9de8-4dd3-89b1-5251edc4d0e9,f2551b53-5073-43d1-8eed-33c76e127d65,Dosage,50mg × 10 vials,98.00,100,
7c7b9426-d00e-4a8f-85bf-69f207d583a2,bc1f3995-b956-4ee5-a097-d5b012a6d38c,weight,10mg,0.00,0,
7e44b761-50d6-4d51-855d-ce263580c2e8,2972a30d-9808-439e-9a6b-dfddca869121,Strength,24 IU × 10 vials,68.00,100,HGH191AASOMATROPIN-24IU10VIALS
7e9589c3-7285-4460-a2e3-b85e053c0c51,2972a30d-9808-439e-9a6b-dfddca869121,Strength,36 IU × 10 vials,112.00,100,HGH191AASOMATROPIN-36IU10VIALS
8072835b-84e0-4794-9244-2e26093e6d41,3092f865-d97d-4866-9cd3-34ef70f33eb7,volume,10ml,0.00,0,
808e5f2b-ba3e-4508-afdd-2d01bddd7f04,75b9aac2-271b-4a27-8996-9015658cbc84,Strength,5mg × 10 vials,0.00,100,SERMORELINACETATE-5MG10VIALS
